Chapter number,Macro book,Era,13-chapter cluster,10-chapter Walter cycle,Year or approximate year,Location,POV character or artifact type,Chapter title,Word target,Immediate human conflict,World-system advanced,Walter visible or invisible role,Canon event touched,Divergence status,New lore introduced,Character introduced or developed,Consequence seeded,Payoff target chapter,Editing warning
833,Book V: Sky,Era 10: The Long Night Without a Savior,65.01 Opening pressure,Walter-shadow 3/9,302,free ports,dyer widow,The Long Night Without a Savior: Opening pressure,750,"dyer widow needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings aftermath and successor conflicts (nearby pressure),Canon,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to free ports.,dyer widow developed; tie to free ports and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 833 returns with altered stakes.",Ch. 846,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
834,Book V: Sky,Era 10: The Long Night Without a Savior,65.02 Local character introduced,Walter-shadow 4/9,302,dragon glass depots,corpse-cart boy,The Long Night Without a Savior: Local character introduced,750,"corpse-cart boy needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings aftermath and successor conflicts (nearby pressure),Canon,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to dragon glass depots.,corpse-cart boy developed; tie to dragon glass depots and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 834 returns with altered stakes.",Ch. 860,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
835,Book V: Sky,Era 10: The Long Night Without a Savior,65.03 Material system problem,Walter-shadow 5/9,302,The Wall,red priest copyist,The Long Night Without a Savior: Material system problem,750,"red priest copyist needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings aftermath and successor conflicts (nearby pressure),Canon,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to The Wall.,red priest copyist developed; tie to The Wall and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 835 returns with altered stakes.",Ch. 874,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
836,Book V: Sky,Era 10: The Long Night Without a Savior,65.04 Social consequence,Walter-shadow 6/9,302,Lantern Chain posts,slaver accountant,The Long Night Without a Savior: Social consequence,750,"slaver accountant needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings aftermath and successor conflicts (nearby pressure),Canon,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to Lantern Chain posts.,slaver accountant developed; tie to Lantern Chain posts and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 836 returns with altered stakes.",Ch. 888,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
837,Book V: Sky,Era 10: The Long Night Without a Savior,65.05 Hidden Walter effect,Walter-shadow 7/9,302,Winterfell,ship caulker,The Long Night Without a Savior: Hidden Walter effect,750,"ship caulker needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings aftermath and successor conflicts (nearby pressure),Canon,War and security rule tagged as canon-compatible inference or fic invention; localized to Winterfell.,ship caulker developed; tie to Winterfell and war and security.,"A material habit, debt, enemy, record, or route from chapter 837 returns with altered stakes.",Ch. 902,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
838,Book V: Sky,Era 10: The Long Night Without a Savior,65.06 Unexpected cost,Walter-shadow 8/9,302,free ports,freedwoman organizer,The Long Night Without a Savior: Unexpected cost,750,"freedwoman organizer needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings aftermath and successor conflicts (nearby pressure),Canon,Health and biology rule tagged as canon-compatible inference or fic invention; localized to free ports.,freedwoman organizer developed; tie to free ports and health and biology.,"A material habit, debt, enemy, record, or route from chapter 838 returns with altered stakes.",Ch. 916,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
839,Book V: Sky,Era 10: The Long Night Without a Savior,65.07 Counterforce reaction,Walter-shadow 9/9,302,dragon glass depots,Braavosi notary,The Long Night Without a Savior: Counterforce reaction,750,"Braavosi notary needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings aftermath and successor conflicts (nearby pressure),Canon,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to dragon glass depots.,Braavosi notary developed; tie to dragon glass depots and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 839 returns with altered stakes.",Ch. 930,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
840,Book V: Sky,Era 10: The Long Night Without a Savior,65.08 Adaptation,Walter POV,302,The Wall,Walter White,The Long Night Without a Savior: Adaptation,750,"Walter White needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,Direct interior decision reframes prior nine chapters.,War of the Five Kings aftermath and successor conflicts (nearby pressure),Canon,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to The Wall.,Walter White developed; tie to The Wall and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 840 returns with altered stakes.",Ch. 853,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
841,Book V: Sky,Era 10: The Long Night Without a Savior,65.09 Partial victory,Walter-shadow 1/9,302,Lantern Chain posts,midwife,The Long Night Without a Savior: Partial victory,750,"midwife needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings aftermath and successor conflicts (nearby pressure),Canon,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to Lantern Chain posts.,midwife developed; tie to Lantern Chain posts and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 841 returns with altered stakes.",Ch. 867,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
842,Book V: Sky,Era 10: The Long Night Without a Savior,65.10 Walter chapter / shadow reveal,Walter-shadow 2/9,302,Winterfell,sellsword quartermaster,The Long Night Without a Savior: Walter chapter / shadow reveal,750,"sellsword quartermaster needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings aftermath and successor conflicts (nearby pressure),Canon,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Winterfell.,sellsword quartermaster developed; tie to Winterfell and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 842 returns with altered stakes.",Ch. 881,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
843,Book V: Sky,Era 10: The Long Night Without a Savior,65.11 Second-order consequence,Walter-shadow 3/9,303,free ports,wildling mother,The Long Night Without a Savior: Second-order consequence,750,"wildling mother needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Others crisis / Long Night timing for fic (nearby pressure),Deliberate divergence,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to free ports.,wildling mother developed; tie to free ports and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 843 returns with altered stakes.",Ch. 895,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
844,Book V: Sky,Era 10: The Long Night Without a Savior,65.12 Moral complication,Walter-shadow 4/9,303,dragon glass depots,Night's Watch steward,The Long Night Without a Savior: Moral complication,750,"Night's Watch steward needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Others crisis / Long Night timing for fic (nearby pressure),Deliberate divergence,War and security rule tagged as canon-compatible inference or fic invention; localized to dragon glass depots.,Night's Watch steward developed; tie to dragon glass depots and war and security.,"A material habit, debt, enemy, record, or route from chapter 844 returns with altered stakes.",Ch. 909,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
